t,q[shoulder_pan],q[shoulder_lift],q[elbow_flex],q[wrist_flex],q[wrist_roll],qd[shoulder_pan],qd[shoulder_lift],qd[elbow_flex],qd[wrist_flex],qd[wrist_roll],qref[shoulder_pan],qref[shoulder_lift],qref[elbow_flex],qref[wrist_flex],qref[wrist_roll],tau_pid[shoulder_pan],tau_pid[shoulder_lift],tau_pid[elbow_flex],tau_pid[wrist_flex],tau_pid[wrist_roll],tau_dist[shoulder_pan],tau_dist[shoulder_lift],tau_dist[elbow_flex],tau_dist[wrist_flex],tau_dist[wrist_roll],tau_total[shoulder_pan],tau_total[shoulder_lift],tau_total[elbow_flex],tau_total[wrist_flex],tau_total[wrist_roll]
0.06800000000000005,-0.03637755577080659,-1.4945679108964591,1.4844760705897209,0.8684793438271062,0.000157030721318816,0.3486905584334746,1.5768799786186285,-1.5062313242232983,-1.5824289241756155,-0.001793550181115456,-0.07418879999992037,-1.5552600000006316,1.5166199999993382,0.9292920000002496,0.0,-3.4855705621635336,-3.509598427654657,1.5017715891836345,1.9884146325521554,-7.839817736183217e-05,0.1711010315658232,0.6266299350789941,0.7801118040590995,0.5856070350187405,0.10169267715610919,-3.3144695305977105,-2.882968492575663,2.281883393242734,2.574021667570896,0.10161427897874736
0.07000000000000005,-0.035708611805188965,-1.4914828894213286,1.4814991402044457,0.8653543993157551,0.0001534196161413458,0.33447198280881163,1.54251073756528,-1.488465192637621,-1.5624722556755641,-0.0018055525887350874,-0.07411199999992045,-1.5536500000006308,1.5150499999993388,0.9283300000002493,0.0,-3.4886842503136575,-3.520569383139775,1.5329971102207764,2.017792020670117,-1.8465949135718866e-05,0.17766419488527954,0.6264800877549821,0.7758463479878102,0.5827389405002251,0.09679648396699497,-3.311020055428378,-2.894089295384793,2.3088434582085866,2.6005309611703424,0.09677801801785925
0.07200000000000005,-0.03506658221664388,-1.4884654876508947,1.4785593808171138,0.8622711742190216,0.0001497727524162741,0.32101479427254065,1.5087008852168964,-1.4698796936659875,-1.5416125483667709,-0.0018234318625358602,-0.07403519999992053,-1.5520400000006302,1.5134799999993394,0.9273680000002491,0.0,-3.4919704685287822,-3.5296206649868562,1.5624986908148186,2.045705863044712,4.840079861767252e-05,0.18261767155274497,0.6278847051249932,0.7727648708740897,0.5789982593833406,0.08987967244768107,-3.3093527969760372,-2.9017359598618633,2.335263561688908,2.6247041224280525,0.08992807324629874
0.07400000000000005,-0.03445022691490839,-1.4855141722121912,1.475658308367823,0.8592310901283562,0.000145872990855375,0.3081776508677438,1.4756577193517455,-1.4505362246454634,-1.520042045332662,-0.0019498807804495444,-0.07395839999992063,-1.5504300000006295,1.5119099999993402,0.9264060000002489,0.0,-3.49513436389966,-3.537103732482483,1.590272260796837,2.072262237607976,0.00023798728642721641,0.18849053433336233,0.6308625501403594,0.7734838013426486,0.5736047931645561,0.08359682777784268,-3.3066438295662977,-2.9062411823421237,2.3637560621394855,2.645867030772532,0.08383481506426989
0.07600000000000005,-0.03385822359379085,-1.4826270751870012,1.4727976158680733,0.8562350925289898,0.00014147945991092154,0.2960016605587727,1.4435485125950143,-1.4303462498748531,-1.4979987996832218,-0.0021967654722267376,-0.07388159999992071,-1.548820000000629,1.5103399999993408,0.9254440000002486,0.0,-3.498379455270616,-3.5433273941254613,1.6162033052873788,2.0976088101111285,0.0005664782784161461,0.1915858139463347,0.6343248050057,0.7718030441306147,0.5708732031299717,0.07930055668078584,-3.306793641324281,-2.909002589119761,2.3880063494179935,2.6684820132411002,0.07986703495920199
0.07800000000000006,-0.03328965820360231,-1.4798021428865493,1.469978451703921,0.8532843128876118,0.0001367635533360081,0.2842826950942712,1.4124661502259044,-1.4095820820762548,-1.475389820689034,-0.002357953287456717,-0.07380479999992079,-1.5472100000006281,1.5087699999993416,0.9244820000002483,0.0,-3.501218547028182,-3.5485037498266547,1.6404467850847895,2.1216577944046615,0.0008049001916683391,0.1936835892351566,0.6391317663057543,0.7714774979413559,0.5673786342673165,0.07144463879187528,-3.3075349577930253,-2.9093719835209004,2.4119242830261456,2.689036428671978,0.07224953898354362
0.08000000000000006,-0.0327437272580735,-1.477037085735884,1.4672018889461946,0.8503795634314547,0.00013140215682324517,0.2729654727644053,1.3825285753325554,-1.3882813788631205,-1.4523747280785135,-0.0026806982563814625,-0.07372799999992087,-1.5456000000006276,1.5071999999993422,0.923520000000248,0.0,-3.5035585909064033,-3.5528894190826983,1.6629957356805884,2.14450461531169,0.0012294338491319172,0.20003385330898563,0.6419730872242069,0.7714585832123545,0.5633124354122531,0.06877585675454233,-3.3035247375974177,-2.910916331858491,2.434454318892943,2.707817050723943,0.07000529060367425
0.08200000000000006,-0.03221906259467866,-1.4743298336690567,1.4644688410033235,0.8475214062961189,0.00012597008332021318,0.2623323316974184,1.3536260334137202,-1.3665239714354966,-1.4290785676678985,-0.0027160367515159886,-0.07365119999992095,-1.543990000000627,1.5056299999993428,0.9225580000002478,0.0,-3.5062576414555577,-3.556413467302183,1.6838776623328837,2.1662254969621415,0.0013387467912026705,0.20052403315795342,0.6435798955697508,0.7673380894558335,0.553353637452458,0.06274306015259525,-3.3057336082976043,-2.9128335717324325,2.451215751788717,2.7195791344145994,0.06408180694379792
0.08400000000000006,-0.03171512863099803,-1.4716783723245181,1.461779614101096,0.8447094934079064,0.00012041590323218838,0.2519669818403155,1.3257306722692896,-1.3446134511137675,-1.4059564441062897,-0.002777090044012407,-0.07357439999992103,-1.5423800000006263,1.5040599999993436,0.9215960000002476,0.0,-3.5082291772789453,-3.5591173977600574,1.7032955246170796,2.1871459093425036,0.0014779411718285197,0.20550028084889063,0.6442178627773639,0.7652553747471976,0.5521179638247751,0.05808031917338892,-3.3027288964300547,-2.9148995349826934,2.4685508993642773,2.7392638731672787,0.05955826034521744
0.08600000000000006,-0.031230757564628023,-1.4690808126402433,1.4591345150981052,0.8419445439104057,0.000114909331233552,0.2421855331850027,1.2987798421374364,-1.3225495014953632,-1.3824747487502809,-0.0027532859993181875,-0.07349759999992111,-1.5407700000006257,1.5024899999993442,0.9206340000002473,0.0,-3.5104084141349112,-3.5609889878089396,1.7212395266556746,2.206877877781846,0.0015231812855834265,0.21026777423338078,0.6472503497140035,0.7666186549395712,0.5496946839005489,0.05352760399680915,-3.3001406399015303,-2.913738638094936,2.4878581815952456,2.7565725616823946,0.05505078528239257
